"","stars","review_count","BikeParking","BusinessParking","HasTV","NoiseLevel","review_count.1","hours.time"
"729",4,53,TRUE,"YES",TRUE,"average",53,55.5
"730",4,41,TRUE,"NO",TRUE,"average",41,89.5
"732",4,192,FALSE,"YES",TRUE,"average",192,81
"733",2.5,53,TRUE,"NO",TRUE,"loud",53,105
"735",3.5,44,FALSE,"YES",TRUE,"average",44,92
"736",4,205,FALSE,"YES",TRUE,"average",205,86
"739",4,64,TRUE,"YES",TRUE,"average",64,109.5
"744",4,29,FALSE,"NO",TRUE,"very_loud",29,105
"745",4.5,36,TRUE,"YES",FALSE,"quiet",36,49
"756",3.5,143,TRUE,"YES",TRUE,"loud",143,107
"758",3.5,116,FALSE,"YES",TRUE,"average",116,108.5
"759",3,51,TRUE,"YES",TRUE,"loud",51,115
"762",3.5,60,FALSE,"YES",TRUE,"average",60,88
"765",4,130,TRUE,"YES",TRUE,"average",130,86
"767",3.5,26,TRUE,"YES",TRUE,"loud",26,81.5
"769",4,78,FALSE,"YES",TRUE,"average",78,95
"772",3.5,41,TRUE,"YES",TRUE,"average",41,112.5
"773",2.5,56,FALSE,"YES",TRUE,"quiet",56,73.5
"774",3,46,TRUE,"YES",TRUE,"average",46,91
"776",4,115,TRUE,"YES",TRUE,"average",115,109
"778",2.5,478,TRUE,"NO",TRUE,"average",478,86.5
"780",4,62,FALSE,"YES",TRUE,"average",62,84
"783",3,113,TRUE,"YES",TRUE,"average",113,108
"784",3.5,230,TRUE,"YES",TRUE,"loud",230,85
"785",4,19,TRUE,"YES",TRUE,"average",19,104
"787",3,43,TRUE,"NO",TRUE,"loud",43,74
"789",3,62,TRUE,"YES",TRUE,"average",62,79
"790",4,70,TRUE,"NO",TRUE,"average",70,34
"792",3.5,34,TRUE,"YES",TRUE,"average",34,39
"793",3.5,31,TRUE,"NO",TRUE,"average",31,88
"794",3,14,TRUE,"YES",FALSE,"quiet",14,65
"795",3.5,64,TRUE,"YES",TRUE,"average",64,81
"799",4.5,57,TRUE,"YES",TRUE,"average",57,58
"800",4.5,18,TRUE,"YES",FALSE,"average",18,43.5
"805",2.5,14,FALSE,"YES",TRUE,"average",14,88
"807",3.5,149,FALSE,"YES",TRUE,"average",149,76.5
"809",3.5,31,TRUE,"YES",TRUE,"average",31,100
"810",4,79,TRUE,"YES",TRUE,"loud",79,75.5
"814",3.5,9,TRUE,"NO",TRUE,"average",9,40
"817",4,49,FALSE,"NO",TRUE,"average",49,70
"818",3,176,TRUE,"YES",TRUE,"average",176,93
"819",3,67,TRUE,"YES",TRUE,"loud",67,105
"823",3.5,187,TRUE,"YES",TRUE,"average",187,79
"824",4,237,TRUE,"YES",FALSE,"average",237,76
"825",4,319,TRUE,"YES",TRUE,"loud",319,89
"826",4,7,FALSE,"NO",TRUE,"quiet",7,76
"829",4,24,TRUE,"NO",TRUE,"average",24,42
"831",4,24,TRUE,"YES",TRUE,"quiet",24,75
"833",3,51,TRUE,"YES",TRUE,"average",51,61.5
"835",3.5,31,TRUE,"YES",TRUE,"average",31,101.5
"836",3,31,FALSE,"YES",TRUE,"average",31,101
"842",3,39,FALSE,"YES",TRUE,"average",39,51.5
"844",3,19,TRUE,"YES",TRUE,"average",19,90.8833333333333
"845",4,36,TRUE,"YES",TRUE,"quiet",36,60
"846",3.5,30,TRUE,"YES",TRUE,"average",30,90
