"","V1","V2"
"776","u'full_bar'",NA
"777","u'none'",NA
"778","'full_bar'",NA
"779","'full_bar'","full_bar"
"780","u'full_bar'",NA
"781","u'full_bar'","full_bar"
"782",NA,NA
"783","u'full_bar'","full_bar"
"784","u'full_bar'",NA
"785","'full_bar'","full_bar"
"786",NA,NA
"787","u'full_bar'","full_bar"
"788",NA,NA
"789","u'full_bar'","full_bar"
"790","'full_bar'",NA
"791","u'full_bar'","full_bar"
"792","u'full_bar'",NA
"793","'beer_and_wine'","beer_and_wine"
"794","'none'","none"
"795","u'full_bar'","full_bar"
"796",NA,NA
"797",NA,NA
"798",NA,NA
"799","u'full_bar'","full_bar"
"800","u'beer_and_wine'",NA
"801","u'full_bar'","full_bar"
"802","u'full_bar'",NA
"803",NA,NA
"804",NA,NA
"805","u'full_bar'","full_bar"
"806","u'beer_and_wine'",NA
"807","u'beer_and_wine'","beer_and_wine"
"808",NA,NA
"809","u'full_bar'","full_bar"
"810","u'full_bar'",NA
"811",NA,NA
"812","u'full_bar'",NA
"813",NA,NA
"814","u'full_bar'",NA
"815",NA,NA
"816",NA,NA
"817","'full_bar'","full_bar"
"818","u'full_bar'",NA
"819","'full_bar'","full_bar"
"820","'full_bar'",NA
"821",NA,NA
"822",NA,NA
"823","u'full_bar'","full_bar"
"824","u'full_bar'",NA
"825","u'full_bar'","full_bar"
"826","u'full_bar'",NA
"827","u'none'",NA
"828",NA,NA
"829","'full_bar'","full_bar"
"830",NA,NA
"831","u'full_bar'","full_bar"
"832","u'full_bar'",NA
"833","u'full_bar'","full_bar"
"834",NA,NA
"835","u'full_bar'","full_bar"
"836","u'full_bar'",NA
"837",NA,NA
"838",NA,NA
"839","u'full_bar'","full_bar"
"840",NA,NA
"841",NA,NA
"842","u'full_bar'",NA
"843",NA,NA
"844","u'full_bar'",NA
"845","'full_bar'","full_bar"
"846","u'full_bar'",NA
"847","u'none'",NA
"848","'full_bar'",NA
"849","u'none'",NA
"850",NA,NA
"851","u'full_bar'","full_bar"
"852","u'full_bar'",NA
"853","u'full_bar'","full_bar"
"854","u'full_bar'",NA
"855","u'none'",NA
"856","'full_bar'",NA
"857","u'none'",NA
"858","'none'","none"
"859","u'none'",NA
"860","u'full_bar'",NA
"861","u'full_bar'","full_bar"
"862","u'full_bar'",NA
"863","u'none'",NA
"864","'full_bar'",NA
"865","u'none'",NA
"866","u'full_bar'",NA
"867","u'full_bar'","full_bar"
"868","u'full_bar'",NA
"869","u'full_bar'","full_bar"
"870","u'full_bar'",NA
"871","u'full_bar'","full_bar"
"872",NA,NA
"873","u'none'",NA
"874","u'none'","none"
"875","u'full_bar'","full_bar"
"876","u'full_bar'",NA
"877","u'full_bar'","full_bar"
"878","u'full_bar'",NA
"879","u'full_bar'","full_bar"
"880","u'full_bar'",NA
"881","u'full_bar'","full_bar"
"882","u'full_bar'",NA
"883","u'full_bar'","full_bar"
"884","u'beer_and_wine'",NA
"885","'full_bar'","full_bar"
"886","u'full_bar'",NA
"887","u'full_bar'","full_bar"
"888",NA,NA
"889","'full_bar'","full_bar"
"890",NA,NA
"891","u'beer_and_wine'","beer_and_wine"
"892",NA,NA
"893","u'full_bar'","full_bar"
"894","u'full_bar'",NA
"895","u'full_bar'","full_bar"
"896","u'full_bar'",NA
"897",NA,NA
"898",NA,NA
"899","u'full_bar'","full_bar"
"900","'full_bar'",NA
"901","u'full_bar'","full_bar"
"902","'full_bar'",NA
"903",NA,NA
"904","u'full_bar'",NA
"905",NA,NA
"906","u'full_bar'",NA
"907","u'full_bar'","full_bar"
"908","'full_bar'",NA
"909",NA,NA
"910","u'full_bar'",NA
"911","u'full_bar'","full_bar"
"912",NA,NA
"913","u'full_bar'","full_bar"
"914","u'full_bar'",NA
"915","u'none'",NA
"916","u'full_bar'",NA
"917","u'full_bar'","full_bar"
"918","u'full_bar'",NA
"919","u'full_bar'","full_bar"
"920","u'full_bar'",NA
"921","u'full_bar'","full_bar"
"922","'full_bar'",NA
"923","u'full_bar'","full_bar"
"924","u'full_bar'",NA
"925","u'full_bar'","full_bar"
"926",NA,NA
"927",NA,NA
"928","u'full_bar'",NA
"929","u'full_bar'","full_bar"
"930","u'beer_and_wine'",NA
"931","'none'",NA
"932",NA,NA
"933",NA,NA
"934","'full_bar'",NA
"935","u'full_bar'","full_bar"
"936","u'full_bar'",NA
"937","u'full_bar'","full_bar"
"938",NA,NA
"939","'full_bar'","full_bar"
"940","u'full_bar'",NA
"941","u'full_bar'","full_bar"
"942","u'full_bar'",NA
"943",NA,NA
"944","u'full_bar'",NA
"945","u'none'",NA
"946","u'full_bar'",NA
"947","u'full_bar'","full_bar"
"948","u'full_bar'",NA
"949","u'full_bar'","full_bar"
"950","u'beer_and_wine'",NA
"951","'none'",NA
"952","u'full_bar'",NA
"953","u'full_bar'","full_bar"
"954","u'full_bar'",NA
"955","'full_bar'","full_bar"
"956","'full_bar'",NA
"957",NA,NA
"958","u'beer_and_wine'",NA
"959","u'full_bar'","full_bar"
"960","u'full_bar'",NA
"961","'full_bar'","full_bar"
"962","'full_bar'",NA
"963","u'full_bar'","full_bar"
"964","u'full_bar'",NA
"965",NA,NA
"966",NA,NA
"967","u'full_bar'","full_bar"
"968","u'full_bar'",NA
"969",NA,NA
"970","u'full_bar'",NA
"971","u'full_bar'","full_bar"
"972","u'full_bar'",NA
"973",NA,NA
"974",NA,NA
"975",NA,NA
"976",NA,NA
"977","u'full_bar'","full_bar"
"978","u'full_bar'",NA
"979",NA,NA
"980","u'beer_and_wine'",NA
"981","'full_bar'","full_bar"
"982","u'full_bar'",NA
"983",NA,NA
"984",NA,NA
"985","u'full_bar'","full_bar"
"986",NA,NA
"987","u'full_bar'","full_bar"
"988",NA,NA
"989","u'full_bar'","full_bar"
"990","u'none'","none"
"991",NA,NA
"992","'none'","none"
"993","u'beer_and_wine'","beer_and_wine"
"994","u'full_bar'",NA
"995",NA,NA
"996","'full_bar'",NA
"997","u'full_bar'","full_bar"
"998",NA,NA
"999","u'full_bar'","full_bar"
"1000","u'full_bar'",NA
"1001",NA,NA
"1002","u'none'","none"
"1003","u'full_bar'","full_bar"
